TaxiID,Lon,Lat,streetMID,disFNode,oneway,pLon,pLat
14076,114.39825800000001,30.64248,6422,57.0635065685774,F,114.398293020935,30.6424259788959
14079,114.332518,30.596846999999997,4391,487.542786002685,F,114.33250281638,30.5968088755579
14081,114.243022,30.550756,2288,362.20667617408,B,114.243942693789,30.5505431424353
14082,114.37168,30.619318,5594,178.439497484456,F,114.371640395276,30.6192929413047
14083,114.40681299999999,30.645977000000002,6436,59.3587834459401,B,114.406977312887,30.6459737280017
14084,114.406329,30.499031,601,60.3869022587532,F,114.406339717618,30.4990297560813
14148,114.32778200000001,30.535632,1775,13.051211962399,F,114.327810339625,30.5356824553651
14151,114.36686200000001,30.588664,3998,148.740238913929,F,114.367207132347,30.5881027783523
14154,114.25653799999999,30.606409999999997,4993,183.964013304125,F,114.256536229153,30.6064091087493
14155,114.348453,30.611756,5469,733.167895668578,F,114.348442608438,30.611763875348
14156,114.26047700000001,30.480021999999998,372,206.519568242051,B,114.260545255215,30.4801081347666
14157,114.34376,30.597520000000003,4384,148.426110152547,B,114.343838803668,30.5975805462223
14158,114.302757,30.549943,2150,788.801285444079,B,114.302797237083,30.55016209133
14182,114.331093,30.587882,3958,582.248048867541,F,114.331087595961,30.5878759056853
14184,114.436093,30.50892,951,24.9416696742655,F,114.436177662492,30.5089601867157
14187,114.33120900000002,30.553787,2301,291.837375490166,B,114.331456506016,30.5542634543804
14188,114.27683600000002,30.621582,5706,596.963899428645,B,114.276737421549,30.6209270361558
